Référence	ContexteGauche	Pivot	ContexteDroit
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, marga, 308, 0 072 020	confort ai atendue c est saint espir que	j atendoie	que jo sor toutes riens voloie a toi sire graces en rent
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, mrgri, 372, 0 076 122	tei mais prie por mei ton seignor que	j aie	pardon por t amor se tu " dist ele " ne m
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, juise2, 123, 0 077 490	cors benoiz soies tu bon sanior ai servit	j ai	veue la joie qui est en camp florit vie manrai toz jors
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima1, 84, 0 080 651	auferrant m estuet aprovender encor ne sai ou	g en	doie trover dex com grant val li estuet avaler et a grant
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima1, 191, 0 081 482	pel com felon puis fu tele heure que	g en	oi grant peor quant reperai de saint michel del mont et j
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nima1, 193, 0 081 495	quant reperai de saint michel del mont et	j encontrai	xm le viel le ros icil iert peres au normant orgueillous il
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima1, 262, 0 082 004	est vo sens devenuz len soloit dire que	g estoie	voz druz et chevauchoie les bons chevaus crenuz et vos servoie par
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima1, 1003, 0 087 546	mes de la cite la vile est bone	g i	vorrai demorer ja ne verroiz demain midi passer vespres sonner ne solleill
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima1, 1104, 0 088 284	n i puet ne venir ne aler se	g en	estoie creuz et escoutez nos le ferons corrocié et iré vez son
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nima1, 1205, 0 089 029	quiert en noiron pre encui savroiz quel avoir	j ai	mené et tu harpins cuvert desmesuré por qu as ma barbe et
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima2, 191, 0 091 360	pel con felon puis fu tele heure que	g en	ai guerredon quant reperai de aa michel del mont et g encontrai
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima2, 193, 0 091 372	quant reperai de aa michel del mont et	g encontrai	xm le viell le ros icil ert peres au normant orgueillous il
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima2, 262, 0 091 884	est vo sens devenuz len soloit dire que	g estoie	voz druz et chevauchoie les bons chevaus crenuz et vos servoie par
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima2, 1161, 0 098 592	mes de la cite la vile est bone	g i	vorrai demorer ia ne verroiz demain midi passer vespre soner ne soleil
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima2, 1261, 0 099 324	n i puet ne venir ne aler se	g en	estoie creuz et escoutez nos le ferons corrocié et iré vez son
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, nima2, 1361, 0 100 063	quiert en noiron pre encui savroiz quel avoir	i ai	mené et tu harpin cuvert desmesuré por qu as ma barbe et
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima3, 233, 0 102 733	grant et avec nymes et le fort mandemant	g en	giterai le mal paien otran qui tant xms a destruit por neant
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima3, 895, 0 107 622	mes de la cite la vile est bone	g i	vorrai demorer ja ne verroiz demain midis passer vespres sonner ne soleil
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima3, 996, 0 108 358	n i puet ne venir ne aler se	g en	estoie creuz et escoutez noz le ferons correcié et iré veez son
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nima3, 1097, 0 109 106	quiert en noiron pre encui sauroiz quel avoir	j ai	mené et tu harpin cuivers desmesurez por qu as ma barbe et
g, PRO:pers:suj:1:sg:unb, DET:def, VERcjg, je, gésir, nima4, 48, 0 110 340	ostel et si vos fetes gentemant conreer et	g ire	a looys parler " dist bertran " sire si com vos comandez
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, nima4, 69, 0 110 497	t e forni maint fort estor champel dont	i e	mort maint gentil bacheler dont le pechie m en est ou cors
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima4, 84, 0 110 617	auferrant m esteut aprovender encor ne sai ou	g en	doie trover diex com grant mal li esteut avaler et a grant
i, PRO:pers:suj:1:sg:unb, PRO:pers, PROimp, il|je, il, nima4, 191, 0 111 440	pel com felon puis fu tele eure que	i en	ai grant poor quant repere de saint michiel du mont et j
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nima4, 193, 0 111 453	quant repere de saint michiel du mont et	j encontre	xm le viel le ros et cil ert pere au normant orguillos
