Référence	ContexteGauche	Pivot	ContexteDroit
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 246, 0 001 825	al rei marsiliuns " respunt dux neimes '	jo irai	par vostre dun livrez m en ore le guant e le bastun
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 254, 0 001 887	sarrazin ki sarraguce tient " respunt rollant '	jo i	puis aler mult ben n u ferez certes " dist li quens
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 258, 0 001 921	que vos vos meslisez se li reis voelt	jo i	puis aler ben " respunt li reis 'ambdui vos en taisez
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 269, 0 002 005	en sire le bastun e le guant e	jo irai	al sarazin en espaigne si n vois vedeir alques de sun semblant
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 329, 0 002 497	or irez vos certes quant jo l cumant	jo i	puis aler mais n i avrai guarant nu l out basilies ne
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 498, 0 003 766	est dreiz que plus vivet livrez le mei	jo en	ferai la justise " quant l oit guenes l espee en ad
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 564, 0 004 299	sire guenes " dist marsilies li reis '	jo ai	tel gent plus bele ne verreiz quatre cenz milie chevalers puis aveir
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 799, 0 006 051	li riches dux gaifiers dist l arcevesque '	jo irai	par mun chef e jo od vos " co dist li quens
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 800, 0 006 057	arcevesque 'jo irai par mun chef e	jo od	vos " co dist li quens gualters 'hom sui rollant jo
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 881, 0 006 669	al rei marsiliun 'bel sires nies e	jo e	vos irum ceste bataille veirement la ferum la rereguarde de la grant
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 1039, 0 007 824	franceis tut lur ad acuntét dist oliver '	jo ai	paiens veuz unc mais nuls hom en tere n en vit plus
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 1083, 0 008 149	olivier 'd ico ne sai jo blasme	jo ai	veut les sarrazins d espaigne cuverz en sunt li val e les
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 1122, 0 008 441	bone espee que li reis me dunat se	jo i	moert dire poet ki l avrat e purrunt dire que ele fut
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 1461, 0 010 986	aduree unches mais hom tel ne vit ajustee	jo i	ferrai de durendal m espee e vos compainz ferrez de halteclere en
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 1766, 0 013 287	escultent li franc ce dist li reis '	jo oi	le corn rollant unc ne l sunast se ne fust cumbatant "
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 2106, 0 015 842	rollant mis nies hoi cest jur nus defalt	jo oi	al corner que guaires ne vivrat ki estre i voelt isnelement chevalzt
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 2178, 0 016 395	sunt il morz n es i devuns laiser	jo es	voell aler querre e entercer dedevant vos juster e enrenger " dist
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 2368, 0 017 851	mes pecchez des granz e des menuz que	jo ai	fait des l ure que nez fui tresqu a cest jur que
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 2403, 0 018 113	e li quens berengers ive e ivorie que	jo aveie	tant chers que est devenuz li guascuinz engeler sansun li dux e
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 2407, 0 018 141	de russilun li veilz li yy per que	jo aveie	laisét " de co qui chelt quant nul n en respundiet '
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 2756, 0 020 709	il jut anuit sur cel ewe de sebre	jo ai	cunté n i ad mais que yy liwes l amirail dites que
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 2767, 0 020 788	que avez vos truvét u est marsilie quo	jo aveie	mandét " dist clarien 'il est a mort nasfrét li emperere
