word; pos; ttpos; rrnpos; ttlemma; rnnlemma; id; s_line; position
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 246; 0 001 825
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 254; 0 001 887
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 258; 0 001 921
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 269; 0 002 005
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 329; 0 002 497
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 498; 0 003 766
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 564; 0 004 299
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 799; 0 006 051
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 800; 0 006 057
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 881; 0 006 669
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 1039; 0 007 824
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 1083; 0 008 149
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 1122; 0 008 441
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 1461; 0 010 986
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 1766; 0 013 287
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 2106; 0 015 842
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 2178; 0 016 395
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 2368; 0 017 851
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 2403; 0 018 113
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 2407; 0 018 141
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 2756; 0 020 709
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 2767; 0 020 788
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 2902; 0 021 786
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 3768; 0 028 200
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 3825; 0 028 636
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rolandox; 3829; 0 028 665
