word;pos;ttpos;rrnpos;ttlemma;rnnlemma;id;s_line;position;word2;word2lemma;category
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;881;0 006 669;e;et;CONcoo
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;3950;0 029 583;e;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1495;0 043 922;e;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1501;0 043 954;e;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nimc;65;0 145 960;et;et;CONcoo
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;842;0 373 548;e;et;CONcoo
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;1179;0 377 624;e;et;CONcoo
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;2394;0 392 397;u;ou;CONcoo
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;3206;0 402 348;e;et;CONcoo
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;3715;0 408 395;e;et;CONcoo
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;3924;0 410 965;e;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;6374;0 440 337;et;et;CONcoo
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;6501;0 441 928;e;et;CONcoo
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesA;3407;0 563 289;e;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesC;3091;0 597 944;et;et;CONcoo
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;perf;211;0 756 515;et;et;CONcoo
io;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;perf;854;0 760 494;et;et;CONcoo
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;perh;533;0 768 534;e;et;CONcoo
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;ipo;6351;0 949 250;e;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;herm;1145;1 187 187;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;herm;1702;1 192 179;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;graal;443;1 274 782;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nic;34;1 277 394;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;athi;918;1 337 301;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;merm;164;1 428 974;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;anth;293;1 580 653;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;chastoi;80;1 657 824;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;chastoi;1381;1 665 586;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;chastoi;2383;1 671 542;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;chastoi;2972;1 675 067;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;eustache;463;1 682 022;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;eustache;1582;1 688 526;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;gerv;272;1 692 748;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;gir;14;1 698 486;u;ou;CONcoo
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;gir;89;1 699 001;u;ou;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;gir;144;1 699 423;u;ou;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;gir;406;1 701 332;u;ou;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;gir;669;1 703 363;u;ou;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;gir;778;1 704 144;u;ou;CONcoo
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;NOMcom;je;joye;best;1436;1 720 708;e;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;jaco;209;1 741 699;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fetrom;245;1 747 430;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;hista;60;1 754 802;et;et;CONcoo
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;lin;202;1 798 866;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;lin;299;1 801 676;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;lin;503;1 807 623;et;et;CONcoo
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;carem;41;1 902 559;et;et;CONcoo
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;clari2;108;1 960 773;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;orso;338;2 066 658;ou;ou;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;orso;1251;2 074 629;et;et;CONcoo
