Référence	ContexteGauche	Pivot	ContexteDroit
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 881, 0 006 669		jo_je e_et	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 3950, 0 029 583		jo_je e_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 1495, 0 043 922		je_je e_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 1501, 0 043 954		je_je e_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimc, 65, 0 145 960		je_je et_et	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, reis, 842, 0 373 548		jo_je e_et	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, reis, 1179, 0 377 624		jo_je e_et	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, reis, 2394, 0 392 397		jo_je u_ou	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, reis, 3206, 0 402 348		jo_je e_et	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, reis, 3715, 0 408 395		jo_je e_et	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, reis, 3924, 0 410 965		jo_je e_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, reis, 6374, 0 440 337		je_je et_et	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, reis, 6501, 0 441 928		jo_je e_et	
jeo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesA, 3407, 0 563 289		jeo_je e_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesC, 3091, 0 597 944		je_je et_et	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perf, 211, 0 756 515		ie_je et_et	
io, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perf, 854, 0 760 494		io_je et_et	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perh, 533, 0 768 534		ieo_je e_et	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ipo, 6351, 0 949 250		jo_je e_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, herm, 1145, 1 187 187		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, herm, 1702, 1 192 179		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, graal, 443, 1 274 782		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nic, 34, 1 277 394		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, athi, 918, 1 337 301		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, merm, 164, 1 428 974		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, anth, 293, 1 580 653		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chastoi, 80, 1 657 824		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chastoi, 1381, 1 665 586		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chastoi, 2383, 1 671 542		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chastoi, 2972, 1 675 067		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, eustache, 463, 1 682 022		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, eustache, 1582, 1 688 526		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, gerv, 272, 1 692 748		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, gir, 14, 1 698 486		je_je u_ou	
