word;pos;ttpos;rrnpos;ttlemma;rnnlemma;id;s_line;position;word2;word2lemma
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;800;0 006 057;od;o	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;3768;0 028 200;a;à	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;3825;0 028 636;a;à	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;gorm;347;0 032 019;a;à	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;788;0 039 233;en;en	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1737;0 045 516;en;en	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1996;0 047 191;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;2695;0 051 704;od;o	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;4739;0 065 050;en;en	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima1;240;0 081 840;a;à	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima2;240;0 091 718;a;à	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nimc;649;0 150 262;a;à	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;teo2;693;0 160 359;aur;aur	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nimd;104;0 163 219;o;o	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;narcA;233;0 246 662;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;narcA;701;0 250 297;a;à	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;narcB;235;0 253 653;a;à	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;narcB;686;0 257 166;a;à	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;narcC;239;0 260 609;a;à	
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;narcC;747;0 264 528;a;à	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;benoit;1682;0 322 568;od;o	
