Référence	ContexteGauche	Pivot	ContexteDroit
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 254, 0 001 887		jo_je i_y	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 258, 0 001 921		jo_je i_y	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 329, 0 002 497		jo_je i_y	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 498, 0 003 766		jo_je en_en	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 1122, 0 008 441		jo_je i_y	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 1461, 0 010 986		jo_je i_y	
jeo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, gorm, 424, 0 032 478		jeo_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 2541, 0 050 707		je_je i_y	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima1, 211, 0 081 634		ge_je en_en	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima2, 84, 0 090 540		ge_je en_en	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima2, 211, 0 091 511		ge_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimb1, 939, 0 128 831		je_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimb2, 874, 0 140 456		je_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimc, 657, 0 150 316		ie_je en_en	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, teo2, 816, 0 161 025		jo_je i_y	
jou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimd, 480, 0 166 084		jou_je an_en	
io, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, guigH, 351, 0 209 976		io_je en_en	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, milunH, 447, 0 244 665		ieo_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, narcA, 718, 0 250 449		je_je en_en	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, yonecH, 3, 0 271 985		ieo_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, benoit, 266, 0 314 562		je_je i_y	
jeo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chro, 918, 0 332 326		jeo_je en_en	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, myst, 300, 0 341 603		jo_je en_en	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, myst, 559, 0 343 218		jo_je en_en	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, myst, 1149, 0 346 675		jo_je en_en	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pap, 350, 0 349 570		ie_je en_en	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pap, 1882, 0 358 605		ie_je en_en	
