word;pos;ttpos;rrnpos;ttlemma;rnnlemma;id;s_line;position;word2;word2lemma
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;254;0 001 887;i;y	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;258;0 001 921;i;y	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;329;0 002 497;i;y	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;498;0 003 766;en;en	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;1122;0 008 441;i;y	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;1461;0 010 986;i;y	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;gorm;424;0 032 478;i;y	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;2541;0 050 707;i;y	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima1;211;0 081 634;en;en	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima2;84;0 090 540;en;en	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima2;211;0 091 511;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nimb1;939;0 128 831;i;y	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nimb2;874;0 140 456;i;y	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nimc;657;0 150 316;en;en	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;teo2;816;0 161 025;i;y	
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nimd;480;0 166 084;an;en	
io;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;guigH;351;0 209 976;en;en	
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;milunH;447;0 244 665;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;narcA;718;0 250 449;en;en	
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;yonecH;3;0 271 985;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;benoit;266;0 314 562;i;y	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;chro;918;0 332 326;en;en	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;myst;300;0 341 603;en;en	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;myst;559;0 343 218;en;en	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;myst;1149;0 346 675;en;en	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pap;350;0 349 570;en;en	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pap;1882;0 358 605;en;en	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pap;2204;0 360 536;en;en	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;563;0 370 192;en;en	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;1353;0 379 770;i;y	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;1538;0 382 045;en;en	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;1805;0 385 327;i;y	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;1825;0 385 565;i;y	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;2047;0 388 234;en;en	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;2887;0 398 461;i;y	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;2948;0 399 220;i;y	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;3111;0 401 168;i;y	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;3656;0 407 701;i;y	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;5451;0 429 181;en;en	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;5568;0 430 599;en;en	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;6162;0 437 730;en;en	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;6201;0 438 183;i;y	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;7471;0 453 325;en;en	
iou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;yvs;472;0 496 597;y;y	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;yvv;242;0 501 145;en;en	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;yvv;312;0 501 575;en;en	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;yvv;906;0 505 132;i;y	
iou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;chret1;392;0 513 905;i;y	
io;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;chret1;495;0 515 942;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;chret2;1335;0 533 339;i;y	
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesA;86;0 544 112;en;en	
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesA;382;0 545 847;en;en	
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesA;2347;0 557 121;i;y	
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesA;3584;0 564 314;en;en	
