Référence	ContexteGauche	Pivot	ContexteDroit
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 246, 0 001 825		jo_je irai_aller	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 269, 0 002 005		jo_je irai_aller	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 564, 0 004 299		jo_je ai_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 799, 0 006 051		jo_je irai_aller	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 1039, 0 007 824		jo_je ai_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 1083, 0 008 149		jo_je ai_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 1766, 0 013 287		jo_je oi_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 2106, 0 015 842		jo_je oi_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 2178, 0 016 395		jo_je es_être	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 2368, 0 017 851		jo_je ai_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 2403, 0 018 113		jo_je aveie_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 2407, 0 018 141		jo_je aveie_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 2756, 0 020 709		jo_je ai_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 2767, 0 020 788		jo_je aveie_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 2902, 0 021 786		jo_je ai_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rolandox, 3829, 0 028 665		jo_je ai_avoir	
