word;pos;ttpos;rrnpos;ttlemma;rnnlemma;id;s_line;position;word2;word2lemma
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;246;0 001 825;irai;aller	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;269;0 002 005;irai;aller	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;564;0 004 299;ai;avoir	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;799;0 006 051;irai;aller	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;1039;0 007 824;ai;avoir	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;1083;0 008 149;ai;avoir	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;1766;0 013 287;oi;avoir	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;2106;0 015 842;oi;avoir	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;2178;0 016 395;es;être	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;2368;0 017 851;ai;avoir	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;2403;0 018 113;aveie;avoir	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;2407;0 018 141;aveie;avoir	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;2756;0 020 709;ai;avoir	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;2767;0 020 788;aveie;avoir	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;2902;0 021 786;ai;avoir	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;3829;0 028 665;ai;avoir	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;53;0 034 154;esveillai;éveiller	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;95;0 034 428;enterrai;entrer	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;96;0 034 433;aurerai;avoir	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;196;0 035 101;esleecerai;esliesser	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;223;0 035 297;esleescerai;esliesser	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;362;0 036 285;esperai;espérer	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;398;0 036 548;apelai;appeler	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;421;0 036 732;amerai;aimer	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;423;0 036 757;espererai;espérer	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;425;0 036 775;apelerai;appeler	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;431;0 036 812;apelerai;appeler	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;514;0 037 398;esfacerai;effacer	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;705;0 038 681;irai;aller	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;714;0 038 744;abiterai;habiter	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;782;0 039 209;esperai;espérer	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;784;0 039 219;atendi;attendre	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;793;0 039 270;irai;aller	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;799;0 039 308;avirunerai;avironner	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;802;0 039 328;amai;aimer	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;823;0 039 458;afierai;affier	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;826;0 039 467;abite;habiter	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;884;0 039 819;oi;avoir	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;914;0 040 021;essalcerai;exaucer	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;977;0 040 435;oi;avoir	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;988;0 040 511;apelai;appeler	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1037;0 040 815;enseignerai;enseigner	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1113;0 041 327;enseignerai;enseigner	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1286;0 042 486;enveilli;envieillir	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1334;0 042 822;aloe;aller	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1337;0 042 838;enviezci;envier	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1350;0 042 944;esteie;être	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1358;0 043 006;annuncierai;annoncer	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1405;0 043 322;atendi;attendre	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1431;0 043 487;annunciai;annoncer	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1468;0 043 739;ai;avoir	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1479;0 043 817;oi;avoir	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1546;0 044 215;enterrai;entrer	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1735;0 045 501;enclinerai;encliner	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1736;0 045 508;aoverrai;aouvrir	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1821;0 046 078;arguerai;arguer	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1851;0 046 305;enseignerai;enseigner	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;2026;0 047 373;apelerai;appeler	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;2156;0 048 236;irai;aller	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;2312;0 049 218;enterrai;entrer	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;2315;0 049 244;esteie;être	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;2485;0 050 350;atendi;attendre	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;2573;0 050 923;enterrai;entrer	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;2579;0 050 962;anuncie;annoncer	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;2650;0 051 424;enviai;envoyer	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;2676;0 051 586;entendisse;entendre	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;2690;0 051 671;esteie;être	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;2810;0 052 488;esbahisseie;ébahir	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;2850;0 052 723;aoverrai;aouvrir	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;3101;0 054 436;oi;avoir	
