word; pos; ttpos; rrnpos; ttlemma; rnnlemma; id; s_line; position
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; marga; 308; 0 072 020
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; mrgri; 372; 0 076 122
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; juise2; 123; 0 077 490
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima1; 84; 0 080 651
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima1; 191; 0 081 482
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nima1; 193; 0 081 495
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima1; 262; 0 082 004
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima1; 1003; 0 087 546
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima1; 1104; 0 088 284
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nima1; 1205; 0 089 029
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima2; 191; 0 091 360
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima2; 193; 0 091 372
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima2; 262; 0 091 884
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima2; 1161; 0 098 592
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima2; 1261; 0 099 324
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; nima2; 1361; 0 100 063
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima3; 233; 0 102 733
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima3; 895; 0 107 622
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima3; 996; 0 108 358
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nima3; 1097; 0 109 106
g; PRO:pers:suj:1:sg:unb; DET:def; VERcjg; je; gésir; nima4; 48; 0 110 340
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; nima4; 69; 0 110 497
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima4; 84; 0 110 617
i; PRO:pers:suj:1:sg:unb; PRO:pers; PROimp; il|je; il; nima4; 191; 0 111 440
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nima4; 193; 0 111 453
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; nima4; 199; 0 111 498
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROimp; i2|i|y; il; nima4; 211; 0 111 591
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima4; 262; 0 111 961
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; nima4; 563; 0 114 229
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROimp; i2|i|y; il; nima4; 710; 0 115 333
g; PRO:pers:suj:1:sg:unb; PRO:pers; PONfbl; je; Ga; nima4; 1142; 0 118 512
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima4; 1217; 0 119 072
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; nima4; 1243; 0 119 251
i; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; il|je; y; nima4; 1344; 0 119 998
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimb1; 33; 0 122 032
i; PRO:pers:suj:1:sg:unb; PRO:pers; PROimp; il|je; il; nimb1; 193; 0 123 269
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimb1; 195; 0 123 282
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb1; 249; 0 123 673
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimb1; 259; 0 123 749
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimb1; 411; 0 124 859
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimb1; 434; 0 125 039
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimb1; 609; 0 126 381
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimb1; 650; 0 126 699
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimb1; 1453; 0 132 654
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimb1; 1463; 0 132 731
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimb1; 1484; 0 132 886
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimb1; 1562; 0 133 464
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb2; 122; 0 134 817
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb2; 124; 0 134 830
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimb2; 188; 0 135 304
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimb2; 345; 0 136 465
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb2; 545; 0 137 996
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb2; 586; 0 138 320
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb2; 1282; 0 143 492
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimb2; 1392; 0 144 307
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimb2; 1402; 0 144 383
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimb2; 1423; 0 144 539
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; nimc; 60; 0 145 925
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; nimc; 101; 0 146 231
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; nimc; 188; 0 146 890
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; nimc; 261; 0 147 424
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimc; 277; 0 147 541
i; PRO:pers:suj:1:sg:unb; PRO:pers; PROimp; il|je; il; nimc; 293; 0 147 653
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; nimc; 318; 0 147 843
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; nimc; 459; 0 148 853
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; nimc; 562; 0 149 650
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; nimc; 827; 0 151 566
i; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; il|je; y; nimc; 1142; 0 153 838
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimc; 1163; 0 153 990
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimc; 1261; 0 154 725
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; nimc; 1288; 0 154 918
i; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; il|je; y; nimc; 1365; 0 155 497
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimc; 1475; 0 156 311
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimd; 108; 0 163 245
j; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|y; y; nimd; 117; 0 163 315
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimd; 214; 0 164 092
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimd; 232; 0 164 224
j; PRO:pers:suj:1:sg:unb; PRO:pers; ADVgen; je; jà; nimd; 322; 0 164 890
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; nimd; 506; 0 166 295
