Référence	ContexteGauche	Pivot	ContexteDroit
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, nima4, 69, 0 110 497		i_y e_et	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROimp, i2|i|y, il, nima4, 710, 0 115 333		i_il e_et	
i, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, il|je, y, nima4, 1344, 0 119 998		i_y e_et	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nimd, 108, 0 163 245		j_y o_ou	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROper, i2|i|y, il, chevreS, 62, 0 194 847		i_il e_et	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perb, 807, 0 692 793		j_je o_ou	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, percevalb, 191, 0 701 034		j_je o_ou	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, percevalb, 364, 0 702 139		j_y o_ou	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, percevalb, 735, 0 704 373		j_y o_ou	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, percevalb, 809, 0 704 840		j_je o_ou	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, percevalb, 8806, 0 753 546		i_y ou_ou	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perm, 363, 0 791 898		g_je e_et	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, beati, 273, 1 366 348		j_je e_et	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, contro, 817, 1 384 850		j_je e_et	
j, PRO:pers:suj:1:sg:unb, PRO:pers, ADVgen, je, jà, contro, 2168, 1 392 827		j_jà e_et	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, contro, 2484, 1 394 653		j_y ou_ou	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, epee, 327, 1 405 814		j_y e_et	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, epee, 450, 1 406 544		j_y e_et	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, epee, 609, 1 407 540		j_y ou_ou	
j, PRO:pers:suj:1:sg:unb, PRO:pers, ADVgen, je, jà, epee, 742, 1 408 378		j_jà e_et	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, epee, 752, 1 408 444		j_y e_et	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, epee, 864, 1 409 110		j_je e_et	
j, PRO:pers:suj:1:sg:unb, PRO:pers, ADVgen, je, jà, mule, 974, 1 477 017		j_jà e_et	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, eustache, 988, 1 685 067		j_je e_et	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, lin, 516, 1 807 926		j_y ou_ou	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, martin1, 27, 2 114 959		j_y ou_ou	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, martin2, 105, 2 127 253		j_y o_ou	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, meun, 3944, 2 223 482		j_y ou_ou	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, rose, 1671, 2 246 032		j_y ou_ou	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, rose, 1809, 2 246 833		j_y ou_ou	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, rose, 2252, 2 249 560		j_y ou_ou	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rose, 2873, 2 253 303		j_je ou_ou	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, rose, 3407, 2 256 580		j_y ou_ou	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, vergih, 320, 2 336 132		i_y ou_ou	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ndchar, 2211, 2 576 815		g_je e_et	
g, PRO:pers:suj:1:sg:unb, PRO:pers, NOMcom, je, gn, ndchar, 4771, 2 591 347		g_gn e_et	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PONpdr, je, je, ndchar, 5899, 2 597 797		j_je e_et	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, malk, 2647, 2 798 843		j_y ou_ou	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, joinv, 490, 3 102 057		j_y e_et	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, contre, 2148, 3 140 537		j_y ou_ou	
