Référence	ContexteGauche	Pivot	ContexteDroit
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimb2, 124, 0 134 830		g_je encontre_encontre	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, thebefrag, 163, 0 187 565		g_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, benoit, 928, 0 318 259		j_je en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, percevalb, 771, 0 704 609		i_y o_o	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, percevalb, 1051, 0 706 350		i_y o_o	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, percevalb, 2348, 0 714 323		j_je o_o	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, percevalb, 3073, 0 718 675		i_y o_o	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, percevalb, 3847, 0 723 402		i_y o_o	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROper, i2|i|y, il, percevalb, 4038, 0 724 578		i_il o_o	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, percevalb, 4306, 0 726 203		g_je en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pers, 96, 0 836 953		g_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, graal, 787, 1 276 821		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, graal, 806, 1 276 940		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, evrat1, 2239, 1 310 015		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, evrat1, 4368, 1 323 111		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, contro, 273, 1 381 609		j_je a_à	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, contro, 1331, 1 387 901		j_je o_o	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PONpdr, je, je, epee, 531, 1 407 037		j_je o_o	
j, PRO:pers:suj:1:sg:unb, PRO:pers, ADVgen, je, jà, mir, 136, 2 043 414		j_jà en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, rose, 1631, 2 245 800		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, vcou, 102, 2 399 124		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, hue, 85, 2 504 922		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, cleom, 2014, 2 845 098		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, vache, 2592, 2 920 360		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, bourg, 518, 3 108 023		j_je a_à	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, contre, 3223, 3 146 983		g_je an_en	
