Référence	ContexteGauche	Pivot	ContexteDroit
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima1, 84, 0 080 651		g_je en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima1, 191, 0 081 482		g_je en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima1, 1003, 0 087 546		g_je i_y	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima1, 1104, 0 088 284		g_je en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima2, 191, 0 091 360		g_je en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima2, 1161, 0 098 592		g_je i_y	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima2, 1261, 0 099 324		g_je en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima3, 233, 0 102 733		g_je en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima3, 895, 0 107 622		g_je i_y	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima3, 996, 0 108 358		g_je en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima4, 84, 0 110 617		g_je en_en	
i, PRO:pers:suj:1:sg:unb, PRO:pers, PROimp, il|je, il, nima4, 191, 0 111 440		i_il en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROimp, i2|i|y, il, nima4, 211, 0 111 591		i_il en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PONfbl, je, Ga, nima4, 1142, 0 118 512		g_Ga i_y	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, nima4, 1243, 0 119 251		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:pers, PROimp, il|je, il, nimb1, 193, 0 123 269		i_il en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimb1, 249, 0 123 673		g_je i_y	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nimb1, 609, 0 126 381		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimb2, 122, 0 134 817		g_je en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimb2, 545, 0 137 996		g_je en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, nimc, 188, 0 146 890		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, nimc, 261, 0 147 424		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:pers, PROimp, il|je, il, nimc, 293, 0 147 653		i_il en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimc, 1163, 0 153 990		g_je i_y	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, nimc, 1288, 0 154 918		i_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimd, 214, 0 164 092		g_je en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, nimd, 506, 0 166 295		i_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nimd, 562, 0 166 706		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, thA, 159, 0 186 318		g_je i_y	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, thebefrag, 164, 0 187 573		g_je i_y	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, equiS, 102, 0 206 693		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, equiS, 133, 0 206 886		i_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, guigP, 340, 0 215 067		j_je en_en	
i, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, il|je, y, guigS, 320, 0 220 019		i_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, guigS, 522, 0 221 195		j_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, milonS, 442, 0 241 656		i_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcA, 788, 0 250 978		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, narcB, 762, 0 257 777		g_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, narcC, 290, 0 261 055		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, narcE, 47, 0 270 364		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rou3a, 111, 0 292 804		j_je en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, maur, 901, 0 307 561		i_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, maur, 948, 0 307 845		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, benoit, 1122, 0 319 362		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, benoit, 1122, 0 319 367		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, chro, 2085, 0 339 312		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, myst, 296, 0 341 576		j_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, pap, 340, 0 349 510		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, pap, 1287, 0 355 165		i_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, yva, 346, 0 465 892		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, yvf, 267, 0 471 415		j_je en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, yvf, 341, 0 471 877		i_y em_en	
