word;pos;ttpos;rrnpos;ttlemma;rnnlemma;id;s_line;position;word2;word2lemma
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima1;84;0 080 651;en;en	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima1;191;0 081 482;en;en	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima1;1003;0 087 546;i;y	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima1;1104;0 088 284;en;en	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima2;191;0 091 360;en;en	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima2;1161;0 098 592;i;y	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima2;1261;0 099 324;en;en	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima3;233;0 102 733;en;en	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima3;895;0 107 622;i;y	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima3;996;0 108 358;en;en	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima4;84;0 110 617;en;en	
i;PRO:pers:suj:1:sg:unb;PRO:pers;PROimp;il|je;il;nima4;191;0 111 440;en;en	
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROimp;i2|i|y;il;nima4;211;0 111 591;en;en	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PONfbl;je;Ga;nima4;1142;0 118 512Ga;i;y	
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;nima4;1243;0 119 251;en;en	
i;PRO:pers:suj:1:sg:unb;PRO:pers;PROimp;il|je;il;nimb1;193;0 123 269;en;en	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nimb1;249;0 123 673;i;y	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;nimb1;609;0 126 381;en;en	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nimb2;122;0 134 817;en;en	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nimb2;545;0 137 996;en;en	
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;nimc;188;0 146 890;en;en	
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;nimc;261;0 147 424;en;en	
i;PRO:pers:suj:1:sg:unb;PRO:pers;PROimp;il|je;il;nimc;293;0 147 653;en;en	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nimc;1163;0 153 990;i;y	
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;nimc;1288;0 154 918;en;en	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nimd;214;0 164 092;en;en	
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;nimd;506;0 166 295;en;en	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;nimd;562;0 166 706;en;en	
