Référence	ContexteGauche	Pivot	ContexteDroit
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, marga, 308, 0 072 020		j_je atendoie_attendre	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, mrgri, 372, 0 076 122		j_y aie_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, juise2, 123, 0 077 490		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nima1, 193, 0 081 495		j_y encontrai_encontrer	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima1, 262, 0 082 004		g_je estoie_être	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nima1, 1205, 0 089 029		j_y ai_avoir	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima2, 193, 0 091 372		g_je encontrai_encontrer	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima2, 262, 0 091 884		g_je estoie_être	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, nima2, 1361, 0 100 063		i_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nima3, 1097, 0 109 106		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nima4, 193, 0 111 453		j_y encontre_encontrer	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, nima4, 199, 0 111 498		i_y es_être	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima4, 262, 0 111 961		j_je estoie_être	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, nima4, 563, 0 114 229		i_y es_être	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima4, 1217, 0 119 072		j_je avoie_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nimb1, 33, 0 122 032		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nimb1, 195, 0 123 282		j_y encontrai_encontrer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nimb1, 259, 0 123 749		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nimb1, 411, 0 124 859		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nimb1, 434, 0 125 039		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nimb1, 650, 0 126 699		j_y estoie_être	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nimb1, 1453, 0 132 654		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nimb1, 1463, 0 132 731		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nimb1, 1484, 0 132 886		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nimb1, 1562, 0 133 464		j_y es_être	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nimb2, 188, 0 135 304		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nimb2, 345, 0 136 465		j_y ai_avoir	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimb2, 586, 0 138 320		g_je estoie_être	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimb2, 1282, 0 143 492		g_je iere_être	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nimb2, 1392, 0 144 307		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nimb2, 1402, 0 144 383		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nimb2, 1423, 0 144 539		j_y ai_avoir	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, nimc, 60, 0 145 925		i_y ai_avoir	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, nimc, 101, 0 146 231		i_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nimc, 277, 0 147 541		j_y estoie_être	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, nimc, 318, 0 147 843		i_y estoie_être	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, nimc, 459, 0 148 853		i_y ai_avoir	
