word;pos;ttpos;rrnpos;ttlemma;rnnlemma;id;s_line;position;word2;word2lemma
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;marga;308;0 072 020;atendoie;attendre	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;mrgri;372;0 076 122;aie;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;juise2;123;0 077 490;ai;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;nima1;193;0 081 495;encontrai;encontrer	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima1;262;0 082 004;estoie;être	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;nima1;1205;0 089 029;ai;avoir	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima2;193;0 091 372;encontrai;encontrer	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima2;262;0 091 884;estoie;être	
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;nima2;1361;0 100 063;ai;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;nima3;1097;0 109 106;ai;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;nima4;193;0 111 453;encontre;encontrer	
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;nima4;199;0 111 498;es;être	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima4;262;0 111 961;estoie;être	
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;nima4;563;0 114 229;es;être	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima4;1217;0 119 072;avoie;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;nimb1;33;0 122 032;ai;avoir	
