id;word;pos;ttpos;rrnpos;ttlemma;rnnlemma;s_line;position;word2;word2lemma;category;num_custom;regionDees;regionDees_from_codeRegional;regionDees_supp;R_code_from_codeRegional;R_code_from_regionDees;R_code_suppl_phylo;R_code_suppl_total;coefficientRegionDees;dateMoyenneDees;codeRegional;coefficientRegional;vers;qualite;dateComposition;dateManuscrit;lieuComposition;lieu_compo_normalise;lieu_compo_simplifie;lieuManuscrit;lieu_manuscrit_normalise;lieu_manuscrit_simplifie;genre;corpus_1987_test;corpus_1987;std_date;type_full;type
abe;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;278;2 746 147;avoye;avoir;VERcjg;143;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;84 (Region parisienne);1325;54;84;non;ms3;1280;1395;frc.;frc.;g. francien;Paris;Paris;g. francien;epistolaire;abe;VRAI;1280;j;1
abe;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;296;2 746 611;avoye;avoir;VERcjg;143;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;84 (Region parisienne);1325;54;84;non;ms3;1280;1395;frc.;frc.;g. francien;Paris;Paris;g. francien;epistolaire;abe;VRAI;1280;j;1
abe;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;95;2 754 935;ay;avoir;VERcjg;143;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;84 (Region parisienne);1325;54;84;non;ms3;1280;1395;frc.;frc.;g. francien;Paris;Paris;g. francien;epistolaire;abe;VRAI;1280;j;1
abe;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;275;2 746 046;avoie;avoir;VERcjg;143;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;84 (Region parisienne);1325;54;84;non;ms3;1280;1395;frc.;frc.;g. francien;Paris;Paris;g. francien;epistolaire;abe;VRAI;1280;j;1
abe;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;48;2 740 292;avoie;avoir;VERcjg;143;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;84 (Region parisienne);1325;54;84;non;ms3;1280;1395;frc.;frc.;g. francien;Paris;Paris;g. francien;epistolaire;abe;VRAI;1280;j;1
abe;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;175;2 757 215;ay;avoir;VERcjg;143;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;84 (Region parisienne);1325;54;84;non;ms3;1280;1395;frc.;frc.;g. francien;Paris;Paris;g. francien;epistolaire;abe;VRAI;1280;j;1
abe;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;449;2 750 937;avoye;avoir;VERcjg;143;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;84 (Region parisienne);1325;54;84;non;ms3;1280;1395;frc.;frc.;g. francien;Paris;Paris;g. francien;epistolaire;abe;VRAI;1280;j;1
abe;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;62;2 754 030;avoye;avoir;VERcjg;143;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;84 (Region parisienne);1325;54;84;non;ms3;1280;1395;frc.;frc.;g. francien;Paris;Paris;g. francien;epistolaire;abe;VRAI;1280;j;1
abe;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;51;2 753 709;avoye;avoir;VERcjg;143;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;84 (Region parisienne);1325;54;84;non;ms3;1280;1395;frc.;frc.;g. francien;Paris;Paris;g. francien;epistolaire;abe;VRAI;1280;j;1
abe;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;403;2 749 603;en;en;PROadv;143;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;84 (Region parisienne);1325;54;84;non;ms3;1280;1395;frc.;frc.;g. francien;Paris;Paris;g. francien;epistolaire;abe;VRAI;1280;j;1
abe;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;44;2 753 540;ai;avoir;VERcjg;143;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;84 (Region parisienne);1325;54;84;non;ms3;1280;1395;frc.;frc.;g. francien;Paris;Paris;g. francien;epistolaire;abe;VRAI;1280;j;1
abe;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;453;2 751 085;ay;avoir;VERcjg;143;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;84 (Region parisienne);1325;54;84;non;ms3;1280;1395;frc.;frc.;g. francien;Paris;Paris;g. francien;epistolaire;abe;VRAI;1280;j;1
abe;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;13;2 739 257;avoie;avoir;VERcjg;143;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;84 (Region parisienne);1325;54;84;non;ms3;1280;1395;frc.;frc.;g. francien;Paris;Paris;g. francien;epistolaire;abe;VRAI;1280;j;1
abe;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;144;2 756 377;ay;avoir;VERcjg;143;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;84 (Region parisienne);1325;54;84;non;ms3;1280;1395;frc.;frc.;g. francien;Paris;Paris;g. francien;epistolaire;abe;VRAI;1280;j;1
abe;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;410;2 749 799;avoye;avoir;VERcjg;143;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;84 (Region parisienne);1325;54;84;non;ms3;1280;1395;frc.;frc.;g. francien;Paris;Paris;g. francien;epistolaire;abe;VRAI;1280;j;1
ailea;i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;275;1 556 542;ai;avoir;VERcjg;161;Yonne;Yonne;Yonne;20;20;20;20;77 (Yonne);nil;58;77;oui;ms;1207;1288;pic.;pic.;g. nord;frc.;frc.;g. francien;poeme didactique;ailea;VRAI;1207;j;1
