id;n.cat1;n.cat2;n.tot;Tx_cat2;num_custom;regionDees;regionDees_from_codeRegional;regionDees_supp;R_code_from_codeRegional;R_code_from_regionDees;R_code_suppl_phylo;R_code_suppl_total;coefficientRegionDees;dateMoyenneDees;codeRegional;coefficientRegional;vers;qualite;dateComposition;dateManuscrit;lieuComposition;lieu_compo_normalise;lieu_compo_simplifie;lieuManuscrit;lieu_manuscrit_normalise;lieu_manuscrit_simplifie;genre;corpus_1987_test;corpus_1987;std_date
abe;15;77;92;0.16304347826087;143;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;84 (Region parisienne);1325;54;84;non;ms3;1280;1395;frc.;frc.;g. francien;Paris;Paris;g. francien;epistolaire;abe;VRAI;1395
ailea;2;1;3;0.666666666666667;161;Yonne;Yonne;Yonne;20;20;20;20;77 (Yonne);nil;58;77;oui;ms;1207;1288;pic.;pic.;g. nord;frc.;frc.;g. francien;poeme didactique;ailea;VRAI;1288
aileb;1;1;2;0.5;226;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;82 (Nievre, Allier);nil;85;82;oui;ms;1207;1290;pic.;pic.;g. nord;agn.;agn.;agn.;poeme didactique;aileb;VRAI;1290
ailed;0;1;1;0;166;Aube;Aube;Aube;21;21;21;21;83 (Aube);nil;59;83;oui;ms;1207;1290;pic.;pic.;g. nord;frc.;frc.;g. francien;poeme didactique;ailed;VRAI;1290
aileg;1;2;3;0.333333333333333;246;Angleterre;Angleterre;Angleterre;29;29;29;29;70 (Angleterre);nil;86;70;oui;ms;1207;1300;pic.;pic.;g. nord;agn.;agn.;agn.;poeme didactique;aileg;VRAI;1300
aileo;1;2;3;0.333333333333333;107;Nord;Nord;Nord;14;14;14;14;87 (Lille et env.);1310;40;87;oui;ms;1207;1310;pic.;pic.;g. nord;Nord-Est;Nord-Est;g. nord-est;poeme didactique;aileo;VRAI;1310
ailet;3;1;4;0.75;116;Wallonie;Wallonie;Wallonie;16;16;16;16;76 (Wallonie);nil;45;76;oui;ms;1207;1300;pic.;pic.;g. nord;wall.;wall.;g. nord-est;poeme didactique;ailet;VRAI;1300
aiol;5;2;7;0.714285714285714;44;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;83 (Pas-de-Calais sud-est);1250;29;83;oui;ms1;1160;1275;pic.;pic.;g. nord;pic.;pic.;g. nord;chanson de geste en decasyllabes et alexandrins;aiol;VRAI;1275
alexo;0;1;1;0;117;Wallonie;Wallonie;Wallonie;16;16;16;16;81 (Wallonie);1250;45;81;oui;ms2;1210;1210;nil;NA;NA;wall.;wall.;g. nord-est;legende en alexandrins;alexo;VRAI;1210
alia;6;3;9;0.666666666666667;2;Vendee, Deux-Sevres;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;2;2;2;71 (Vendee);1225;4;71;oui;ms;1185;1225;pic. et occ. orient.;pic.;g. nord;poit.;poit.;g. sud-ouest;roman en vers;alia;VRAI;1225
amad;4;3;7;0.571428571428571;96;Aisne;Aisne;Aisne;13;13;13;13;81 (Aisne);1288;37;81;oui;cr3;1210;1289;agn.;agn.;agn.;pic.;pic.;g. nord;roman d'aventures et d'amour en octosyllabes;amad;VRAI;1289
amile;3;0;3;1;189;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;80 (Langres et env.);1275;61;80;oui;ms1;1200;1275;nil;NA;NA;lorr.;lorr.;g. nord-est;chanson de geste en laisses decasyllabiques;amile;VRAI;1275
amo;15;6;21;0.714285714285714;108;Nord;Nord;Nord;14;14;14;14;78 (Lille et env.);1300;40;78;oui;ms;1250;1300;flandr.;flandr.;g. nord;pic. ?;NA;NA;poeme didactique;amo;VRAI;1300
amou;25;8;33;0.757575757575758;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1300
anth;8;16;24;0.333333333333333;190;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;79 (Langres et env.);nil;61;79;non;ms1;1208;1275;wall.;wall.;g. nord-est;pic.;pic.;g. nord;vie de saint en quatrains d'alexandrins monorimes;anth;VRAI;1275
anti;6;1;7;0.857142857142857;29;nil;Haute-Marne;Haute-Marne;22;NA;22;22;nil;1275;61;61;oui;cr;1236;1288;norm.;norm.;g. nord-ouest;agn.;agn.;agn.;poeme allegorique traitant de l'Antechrist;#N/A;FAUX;1288
arr;0;3;3;0;45;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;82 (Pas-de-Calais sud-est);nil;29;82;non;ms1;nil;1275;nil;NA;NA;Arras;Pas-de-Calais;g. nord;hagiographie;arr;VRAI;1275
artch;2;0;2;1;135;Marne;Marne;Marne;18;18;18;18;82 (Marne ouest);1340;52;82;non;cr2;1288;1340;frc.;frc.;g. francien;pic.;pic.;g. nord;traduction française en prose du De re militari de Vï¿_gï¿_ce;artch;VRAI;1340
athi;16;4;20;0.8;97;Aisne;Aisne;Aisne;13;13;13;13;74 (Aisne);nil;37;74;oui;cr2;1200;1350;pic.;pic.;g. nord;frc.;frc.;g. francien;histoire de deux amis en octosyllabes;athi;VRAI;1350
